t_rel_s,shm_used_mb,shm_sm_block_count,images_out_mb,pipelines
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.5,39550.44,5788,3700.24,1
10.6,39550.44,5788,3700.24,1
10.6,39550.44,5788,3700.24,1
10.6,39550.44,5788,3700.24,1
10.6,39554.88,5788,3700.24,1
10.6,39563.73,5788,3700.24,1
10.6,39571.77,5788,3700.24,1
10.6,39580.83,5789,3700.24,1
10.6,39592.13,5791,3700.24,1
10.6,39610.22,5794,3700.24,1
10.6,39626.95,5795,3700.24,1
10.6,39636.77,5795,3700.24,1
10.6,39636.77,5795,3700.24,1
10.6,39639.1,5795,3700.24,1
10.6,39654.45,5795,3700.24,1
10.6,39669.02,5795,3700.24,1
10.6,39681.52,5795,3700.24,1
10.6,39695.61,5795,3700.24,1
10.6,39705.74,5795,3700.24,1
10.7,39708.77,5795,3700.24,1
10.7,39708.77,5796,3700.24,1
10.7,39708.82,5797,3700.24,1
10.7,39708.84,5797,3700.24,1
10.7,39708.88,5798,3700.24,1
10.7,39708.88,5798,3700.24,1
10.7,39708.88,5798,3700.24,1
10.7,39708.88,5798,3700.24,1
10.7,39708.88,5798,3700.24,1
10.7,39708.88,5798,3700.24,1
10.7,39708.88,5798,3700.24,1
10.7,39708.88,5798,3700.24,1
10.7,39636.88,5798,3700.24,1
10.7,39638.11,5799,3700.24,1
10.8,39565.62,5799,3700.24,1
10.8,39574.0,5799,3700.24,1
10.8,39574.0,5799,3700.24,1
10.8,39574.0,5799,3700.24,1
10.8,39574.0,5799,3700.24,1
10.8,39574.0,5799,3700.24,1
10.8,39578.16,5800,3700.24,1
10.8,39591.04,5800,3700.24,1
10.8,39591.13,5800,3700.24,1
10.8,39591.13,5800,3700.24,1
10.8,39591.13,5800,3700.24,1
10.8,39591.13,5800,3700.24,1
10.8,39591.13,5800,3700.24,1
10.8,39591.13,5800,3700.24,1
10.9,39609.42,5801,3700.24,1
10.9,39626.07,5801,3700.24,1
10.9,39637.69,5801,3700.24,1
10.9,39642.5,5801,3700.24,1
10.9,39642.5,5801,3700.24,1
10.9,39642.5,5801,3700.24,1
10.9,39642.5,5801,3700.24,1
10.9,39642.5,5801,3700.24,1
10.9,39642.5,5801,3700.24,1
10.9,39642.5,5801,3700.24,1
10.9,39642.5,5801,3700.24,1
10.9,39642.5,5801,3700.24,1
10.9,39650.53,5801,3700.24,1
10.9,39662.44,5801,3700.24,1
10.9,39672.35,5801,3700.24,1
11.0,39677.64,5801,3700.24,1
11.0,39684.88,5801,3700.24,1
11.0,39689.85,5801,3700.24,1
11.0,39694.87,5801,3700.24,1
11.0,39701.57,5801,3700.24,1
11.0,39711.69,5801,3700.24,1
11.0,39718.03,5801,3700.24,1
11.0,39722.5,5801,3700.24,1
11.0,39729.13,5801,3700.24,1
11.0,39733.85,5801,3700.24,1
11.0,39738.55,5801,3700.24,1
11.0,39752.46,5801,3700.24,1
11.0,39762.55,5801,3700.24,1
11.0,39771.39,5801,3700.24,1
11.1,39776.86,5801,3700.24,1
11.1,39786.02,5801,3700.24,1
11.1,39794.5,5801,3700.24,1
11.1,39794.5,5801,3700.24,1
11.1,39794.5,5801,3700.24,1
11.1,39794.5,5801,3700.24,1
11.1,39794.5,5801,3700.24,1
11.1,39794.5,5801,3700.24,1
11.1,39794.5,5801,3700.24,1
11.1,39794.5,5801,3700.24,1
11.1,39794.5,5801,3700.24,1
11.1,39795.11,5802,3700.24,1
11.1,39811.62,5802,3700.24,1
11.1,39811.62,5802,3700.24,1
11.2,39811.62,5802,3700.24,1
11.2,39811.62,5802,3700.24,1
11.2,39811.62,5802,3700.24,1
11.2,39811.62,5802,3700.24,1
11.2,39739.62,5802,3700.24,1
11.2,39739.62,5802,3700.24,1
11.2,39659.62,5802,3700.24,1
11.2,39659.62,5802,3700.24,1
11.2,39659.62,5802,3700.24,1
11.2,39659.62,5802,3700.24,1
11.2,39659.62,5802,3700.24,1
11.2,39659.62,5802,3700.24,1
11.2,39660.91,5803,3700.24,1
11.2,39661.08,5805,3700.24,1
11.3,39661.08,5805,3700.24,1
11.3,39661.08,5805,3700.24,1
11.3,39661.08,5805,3700.24,1
11.3,39661.08,5805,3700.24,1
11.3,39663.12,5807,3700.24,1
11.3,39663.39,5809,3700.24,1
11.3,39668.14,5809,3700.24,1
11.3,39678.44,5810,3700.24,1
11.3,39690.92,5810,3700.24,1
11.3,39703.34,5810,3700.24,1
11.3,39715.72,5811,3700.24,1
11.3,39731.45,5811,3700.24,1
11.3,39745.68,5812,3700.24,1
11.4,39746.39,5812,3700.24,1
11.4,39760.05,5812,3700.24,1
11.4,39771.11,5812,3700.24,1
11.4,39783.5,5812,3700.24,1
11.4,39795.21,5812,3700.24,1
11.4,39808.95,5812,3700.24,1
11.4,39818.39,5812,3700.24,1
11.4,39818.39,5812,3700.24,1
11.4,39818.39,5812,3700.24,1
11.4,39826.45,5813,3700.24,1
11.4,39833.18,5813,3700.24,1
11.4,39835.6,5813,3700.24,1
11.4,39835.6,5813,3700.24,1
11.4,39835.6,5813,3700.24,1
11.4,39835.6,5813,3700.24,1
11.4,39835.6,5813,3700.24,1
11.4,39835.6,5813,3700.24,1
11.4,39845.37,5814,3700.24,1
11.5,39852.81,5814,3700.24,1
11.5,39780.81,5814,3700.24,1
11.5,39780.81,5814,3700.24,1
11.5,39700.81,5814,3700.24,1
11.5,39700.81,5814,3700.24,1
11.5,39700.81,5814,3700.24,1
11.5,39700.81,5814,3700.24,1
11.5,39700.81,5814,3700.24,1
11.5,39709.16,5815,3700.24,1
11.5,39723.02,5815,3700.24,1
11.5,39735.92,5815,3700.24,1
11.5,39751.1,5815,3700.24,1
11.5,39752.43,5815,3700.24,1
11.5,39752.43,5815,3700.24,1
11.5,39752.43,5815,3700.24,1
11.5,39752.43,5815,3700.24,1
11.5,39752.43,5815,3700.24,1
11.5,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.6,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.7,39752.43,5815,3700.24,1
11.8,39752.43,5815,3700.24,1
11.8,39752.43,5815,3700.24,1
